"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Creating the new transaction","","0","0","10","0","0"
"","View the transaction detail","","0","0","10","0","0"
"","Sign up","","0","0","8","0","0"
"","Sign in","","0","0","6","0","6"
"","The bank account","","0","0","12","0","0"
"","Updating the user settings","","0","0","10","0","0"
